"cty","Name","Household_Income_at_Age_35_rP_gF_p25"
"cty29041","Chariton County, MO",39767
"cty17111","McHenry County, IL",39744
"cty27147","Steele County, MN",39717
"cty55057","Juneau County, WI",39715
"cty08097","Pitkin County, CO",39709
"cty20009","Barton County, KS",39706
"cty20097","Kiowa County, KS",39688
"cty21091","Hancock County, KY",39681
"cty48085","Collin County, TX",39665
"cty08075","Logan County, CO",39662
"cty16021","Boundary County, ID",39659
"cty20065","Graham County, KS",39637
"cty42125","Washington County, PA",39635
"cty46047","Fall River County, SD",39628
"cty56041","Uinta County, WY",39620
"cty55117","Sheboygan County, WI",39607
"cty49009","Daggett County, UT",39596
"cty30093","Silver Bow County, MT",39585
"cty31091","Hooker County, NE",39573
"cty18183","Whitley County, IN",39553
"cty17071","Henderson County, IL",39548
"cty17059","Gallatin County, IL",39545
"cty17171","Scott County, IL",39538
"cty08093","Park County, CO",39530
"cty42111","Somerset County, PA",39511
"cty49025","Kane County, UT",39501
"cty48505","Zapata County, TX",39497
"cty49015","Emery County, UT",39496
"cty17041","Douglas County, IL",39490
"cty30029","Flathead County, MT",39471
"cty19099","Jasper County, IA",39452
"cty42131","Wyoming County, PA",39436
"cty31101","Keith County, NE",39426
"cty39055","Geauga County, OH",39423
"cty30075","Powder River County, MT",39405
"cty42005","Armstrong County, PA",39388
"cty51735","Poquoson city, VA",39356
"cty42067","Juniata County, PA",39340
"cty48417","Shackelford County, TX",39316
"cty48135","Ector County, TX",39307
"cty27003","Anoka County, MN",39293
"cty53033","King County, WA",39291
"cty40011","Blaine County, OK",39283
"cty27057","Hubbard County, MN",39277
"cty49019","Grand County, UT",39276
"cty51091","Highland County, VA",39263
"cty19071","Fremont County, IA",39261
"cty20121","Miami County, KS",39236
"cty20167","Russell County, KS",39231
"cty29045","Clark County, MO",39228
"cty50023","Washington County, VT",39204
"cty56001","Albany County, WY",39193
"cty08073","Lincoln County, CO",39192
"cty30111","Yellowstone County, MT",39182
"cty08037","Eagle County, CO",39148
"cty17189","Washington County, IL",39136
"cty53055","San Juan County, WA",39125
"cty19115","Louisa County, IA",39120
"cty46099","Minnehaha County, SD",39092
"cty19053","Decatur County, IA",39087
"cty08119","Teller County, CO",39069
"cty36119","Westchester County, NY",39065
"cty31111","Lincoln County, NE",39041
"cty30067","Park County, MT",39035
"cty55055","Jefferson County, WI",39030
"cty55063","La Crosse County, WI",39029
"cty48243","Jeff Davis County, TX",39020
"cty46065","Hughes County, SD",38992
"cty29173","Ralls County, MO",38992
"cty42019","Butler County, PA",38991
"cty49021","Iron County, UT",38987
"cty55023","Crawford County, WI",38975
